,Series/Tournament,Season,Unnamed: 2,Winner,Margin
713,Zimbabwe in Bangladesh ODI Series,2015/16,,Bangladesh,3-0 (3)
714,Pakistan v England ODI Series (in United Arab Emirates),2015/16,,England,3-1 (4)
715,Sri Lanka in New Zealand ODI Series,2015/16,,New Zealand,3-1 (5)
716,Afghanistan v Zimbabwe ODI Series (in United Arab Emirates),2015/16,,Afghanistan,3-2 (5)
717,India in Australia ODI Series,2015/16,,Australia,4-1 (5)
718,Pakistan in New Zealand ODI Series,2015/16,,New Zealand,2-0 (3)
719,Chappell-Hadlee Trophy (Australia in New Zealand),2015/16,,New Zealand,2-1 (3)
720,England in South Africa ODI Series,2015/16,,South Africa,3-2 (5)
721,India in Zimbabwe ODI Series,2016,,India,3-0 (3)
722,Sri Lanka in Ireland ODI Series,2016,,Sri Lanka,2-0 (2)
723,"West Indies Tri-Nation Series (Australia, South Africa, West Indies)",2016,,Australia,
724,Sri Lanka in England ODI Series,2016,,England,3-0 (5)
725,Afghanistan in Scotland ODI Series,2016,,Afghanistan,1-0 (2)
726,Afghanistan in Ireland ODI Series,2016,,drawn,2-2 (5)
727,Pakistan in Ireland ODI Series,2016,,Pakistan,1-0 (2)
728,Australia in Sri Lanka ODI Series,2016,,Australia,4-1 (5)
729,Pakistan in England ODI Series,2016,,England,4-1 (5)
730,Hong Kong in Scotland ODI Series,2016,,Scotland,1-0 (2)
731,Ireland in South Africa ODI Match,2016/17,,South Africa,1-0 (1)
732,Australia v Ireland ODI Match (in South Africa),2016/17,,Australia,1-0 (1)
733,Afghanistan in Bangladesh ODI Series,2016/17,,Bangladesh,2-1 (3)
734,Pakistan v West Indies ODI Series (in United Arab Emirates),2016/17,,Pakistan,3-0 (3)
735,Australia in South Africa ODI Series,2016/17,,South Africa,5-0 (5)
736,England in Bangladesh ODI Series,2016/17,,England,2-1 (3)
737,New Zealand in India ODI Series,2016/17,,India,3-2 (5)
738,Papua New Guinea in Hong Kong ODI Series,2016/17,,Hong Kong,2-1 (3)
739,"Zimbabwe Tri-Nation Series (Sri Lanka, West Indies, Zimbabwe)",2016/17,,Sri Lanka,
740,Chappell-Hadlee Trophy [New Zealand in Australia],2016/17,,Australia,3-0 (3)
741,Bangladesh in New Zealand ODI Series,2016/17,,New Zealand,3-0 (3)
742,England in India ODI Series,2016/17,,India,2-1 (3)
743,Pakistan in Australia ODI Series,2016/17,,Australia,4-1 (5)
744,"United Arab Emirates Tri-Nation Series (Hong Kong, Scotland, United Arab Emirates)",2016/17,,U.A.E.,
745,Chappell-Hadlee Trophy [Australia in New Zealand],2016/17,,New Zealand,2-0 (3)
746,Sri Lanka in South Africa ODI Series,2016/17,,South Africa,5-0 (5)
747,Afghanistan in Zimbabwe ODI Series,2016/17,,Afghanistan,3-2 (5)
748,Ireland in United Arab Emirates ODI Series,2016/17,,Ireland,2-0 (2)
749,South Africa in New Zealand ODI Series,2016/17,,South Africa,3-2 (5)
750,England in West Indies ODI Series,2016/17,,England,3-0 (3)
751,Afghanistan v Ireland ODI Series (in India),2016/17,,Afghanistan,3-2 (5)
752,Bangladesh in Sri Lanka ODI Series,2016/17,,drawn,1-1 (3)
753,Papua New Guinea in United Arab Emirates ODI Series,2017,,U.A.E.,2-1 (3)
754,Pakistan in West Indies ODI Series,2017,,Pakistan,2-1 (3)
755,Ireland in England ODI Series,2017,,England,2-0 (2)
756,"Ireland Tri-Nation Series (Bangladesh, Ireland, New Zealand)",2017,,New Zealand,
757,South Africa in England ODI Series,2017,,England,2-1 (3)
758,Afghanistan in West Indies ODI Series,2017,,drawn,1-1 (3)
759,Zimbabwe in Scotland ODI Series,2017,,drawn,1-1 (2)
760,ICC Champions Trophy (in England),2017,,Pakistan,
761,India in West Indies ODI Series,2017,,India,3-1 (5)
762,Zimbabwe in Sri Lanka ODI Series,2017,,Zimbabwe,3-2 (5)
763,India in Sri Lanka ODI Series,2017,,India,5-0 (5)
764,West Indies in Ireland ODI Match,2017,,abandoned,0-0 (1)
765,West Indies in England ODI Series,2017,,England,4-0 (5)
766,Australia in India ODI Series,2017/18,,India,4-1 (5)
767,Bangladesh in South Africa ODI Series,2017/18,,South Africa,3-0 (3)
768,Pakistan v Sri Lanka ODI Series (in United Arab Emirates),2017/18,,Pakistan,5-0 (5)
769,New Zealand in India ODI Series,2017/18,,India,2-1 (3)
770,Papua New Guinea v Scotland ODI Series (in United Arab Emirates),2017/18,,Scotland,2-0 (2)
771,ICC World Cricket League Championship,2015-2017/18,,Netherlands,
772,Afghanistan v Ireland ODI Series (in United Arab Emirates),2017/18,,Ireland,2-1 (3)
773,Sri Lanka in India ODI Series,2017/18,,India,2-1 (3)
774,West Indies in New Zealand ODI Series,2017/18,,New Zealand,3-0 (3)
775,Pakistan in New Zealand ODI Series,2017/18,,New Zealand,5-0 (5)
776,"United Arab Emirates Tri-Nation Series (Ireland, Scotland, United Arab Emirates)",2017/18,,Ireland,
777,"Bangladesh Tri-Nation Series (Bangladesh, Sri Lanka, Zimbabwe)",2017/18,,Sri Lanka,
778,England in Australia ODI Series,2017/18,,England,4-1 (5)
779,India in South Africa ODI Series,2017/18,,India,5-1 (6)
780,Afghanistan v Zimbabwe ODI Series (in United Arab Emirates),2017/18,,Afghanistan,4-1 (5)
781,England in New Zealand ODI Series,2017/18,,England,3-2 (5)
782,ICC Cricket World Cup Qualifier (in Zimbabwe),2017/18,,Afghanistan,
783,England in Scotland ODI Match,2018,,Scotland,1-0 (1)
784,Australia in England ODI Series,2018,,England,5-0 (5)
785,India in England ODI Series,2018,,England,2-1 (3)
786,Pakistan in Zimbabwe ODI Series,2018,,Pakistan,5-0 (5)
787,Bangladesh in West Indies ODI Series,2018,,Bangladesh,2-1 (3)
788,Nepal in Netherlands ODI Series,2018,,drawn,1-1 (2)
789,South Africa in Sri Lanka ODI Series,2018,,South Africa,3-2 (5)
790,"Asia Cup Qualifiers (Hong Kong, Malaysia, Nepal, Oman, Singapore, United Arab Emirates in Malaysia)",2018,,Hong Kong,
791,Afghanistan in Ireland ODI Series,2018,,Afghanistan,2-1 (3)
792,"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates)",2018,,India,
793,Zimbabwe in South Africa ODI Series,2018/19,,South Africa,3-0 (3)
794,England in Sri Lanka ODI Series,2018/19,,England,3-1 (5)
795,Zimbabwe in Bangladesh ODI Series,2018/19,,Bangladesh,3-0 (3)
796,West Indies in India ODI Series,2018/19,,India,3-1 (5)
797,Pakistan v New Zealand ODI Series (in United Arab Emirates),2018/19,,drawn,1-1 (3)
798,South Africa in Australia ODI Series,2018/19,,South Africa,2-1 (3)
799,West Indies in Bangladesh ODI Series,2018/19,,Bangladesh,2-1 (3)
800,Sri Lanka in New Zealand ODI Series,2018/19,,New Zealand,3-0 (3)
801,India in Australia ODI Series,2018/19,,India,2-1 (3)
802,Nepal in United Arab Emirates ODI Series,2018/19,,Nepal,2-1 (3)
803,Pakistan in South Africa ODI Series,2018/19,,South Africa,3-2 (5)
804,India in New Zealand ODI Series,2018/19,,India,4-1 (5)
805,Bangladesh in New Zealand ODI Series,2018/19,,New Zealand,3-0 (3)
806,England in West Indies ODI Series,2018/19,,drawn,2-2 (5)
807,Afghanistan v Ireland ODI Series (in India),2018/19,,drawn,2-2 (5)
808,Australia in India ODI Series,2018/19,,Australia,3-2 (5)
809,Sri Lanka in South Africa ODI Series,2018/19,,South Africa,5-0 (5)
810,Australia v Pakistan ODI Series (in United Arab Emirates),2018/19,,Australia,5-0 (5)
811,United Arab Emirates in Zimbabwe ODI Series,2019,,Zimbabwe,4-0 (4)
812,ICC World Cricket League Division Two (in Namibia),2019,,Namibia,
813,England in Ireland ODI Match,2019,,England,1-0 (1)
814,Afghanistan in Scotland ODI Series,2019,,Afghanistan,1-0 (2)
815,"Ireland Tri-Nation Series (Bangladesh, Ireland, West Indies)",2019,,Bangladesh,
816,Pakistan in England ODI Series,2019,,England,4-0 (5)
817,Afghanistan in Ireland ODI Series,2019,,drawn,1-1 (2)
818,Sri Lanka in Scotland ODI Series,2019,,Sri Lanka,1-0 (2)
819,Zimbabwe in Netherlands ODI Series,2019,,Netherlands,2-0 (2)
820,Zimbabwe in Ireland ODI Series,2019,,Ireland,3-0 (3)
821,ICC Cricket World Cup (in England),2019,,England,
822,Bangladesh in Sri Lanka ODI Series,2019,,Sri Lanka,3-0 (3)
823,India in West Indies ODI Series,2019,,India,2-0 (3)
824,Sri Lanka in Pakistan ODI Series,2019/20,,Pakistan,2-0 (3)
825,Afghanistan v West Indies ODI Series (in India),2019/20,,West Indies,3-0 (3)
826,West Indies in India ODI Series,2019/20,,India,2-1 (3)
827,Ireland in West Indies ODI Series,2019/20,,West Indies,3-0 (3)
828,Australia in India ODI Series,2019/20,,India,2-1 (3)
829,England in South Africa ODI Series,2019/20,,drawn,1-1 (3)
830,India in New Zealand ODI Series,2019/20,,New Zealand,3-0 (3)
831,West Indies in Sri Lanka ODI Series,2019/20,,Sri Lanka,3-0 (3)
832,Zimbabwe in Bangladesh ODI Series,2019/20,,Bangladesh,3-0 (3)
833,Australia in South Africa ODI Series,2019/20,,South Africa,3-0 (3)
834,South Africa in India ODI Series,2019/20,,-,
835,Chappell-Hadlee Trophy [New Zealand in Australia],2019/20,,Australia,1-0 (3)
836,Bangladesh in Pakistan ODI Match,2019/20,,abandoned,0-0 (1)
837,Netherlands in Namibia ODI Series,2019/20,,-,
838,Ireland in Zimbabwe ODI Series,2020,,-,
839,Bangladesh in Ireland ODI Series,2020,,-,
840,New Zealand in Scotland ODI Match,2020,,abandoned,0-0 (1)
841,New Zealand in Ireland ODI Series,2020,,-,
842,Pakistan in Netherlands ODI Series,2020,,-,
843,Ireland in England ODI Series,2020,,England,2-1 (3)
844,Australia in England ODI Series,2020,,Australia,2-1 (3)
845,Zimbabwe in Pakistan ODI Series,2020/21,,Pakistan,2-1 (3)
846,India in Australia ODI Series,2020/21,,Australia,2-1 (3)
847,Ireland in United Arab Emirates ODI Series,2020/21,,drawn,1-1 (4)
848,West Indies in Bangladesh ODI Series,2020/21,,Bangladesh,3-0 (3)
849,Afghanistan v Ireland ODI Series (in United Arab Emirates),2020/21,,Afghanistan,3-0 (3)
850,Sri Lanka in West Indies ODI Series,2020/21,,West Indies,3-0 (3)
851,Bangladesh in New Zealand ODI Series,2020/21,,New Zealand,3-0 (3)
852,England in India ODI Series,2020/21,,India,2-1 (3)
853,Pakistan in South Africa ODI Series,2021,,Pakistan,2-1 (3)
854,Scotland in Netherlands ODI Series,2021,,drawn,1-1 (2)
855,Sri Lanka in Bangladesh ODI Series,2021,,Bangladesh,2-1 (3)
856,Ireland in Netherlands ODI Series,2021,,Netherlands,2-1 (3)
857,Sri Lanka in England ODI Series,2021,,England,2-0 (3)
858,Pakistan in England ODI Series,2021,,England,3-0 (3)
859,South Africa in Ireland ODI Series,2021,,drawn,1-1 (3)
860,Bangladesh in Zimbabwe ODI Series,2021,,Bangladesh,3-0 (3)
861,India in Sri Lanka ODI Series,2021,,India,2-1 (3)
862,Australia in West Indies ODI Series,2021,,Australia,2-1 (3)
863,South Africa in Sri Lanka ODI Series,2021,,Sri Lanka,2-1 (3)
864,Papua New Guinea v United States of America ODI Series (in Oman),2021,,U.S.A.,2-0 (2)
865,Nepal v Papua New Guinea ODI Series (in Oman),2021,,Nepal,2-0 (2)
866,Zimbabwe in Ireland ODI Series,2021,,drawn,1-1 (3)
867,New Zealand in Pakistan ODI Series,2021,,-,
868,ICC Men's Cricket World Cup Super League,2020-2022/23,,-,
869,Netherlands in South Africa ODI Series,2021/22,,-,
870,ICC Men's Cricket World Cup League 2,2019-2021/22,,-,
