,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Unnamed: 14
4,S Hirugade (Mex),2019-2019,6,5,13.3,0,92,6,4/16,15.33,6.81,13.5,1,0,
5,Irfan Bhima (MWI),2019-2019,4,4,15.0,3,51,6,3/14,8.5,3.4,15.0,0,0,
6,S Kaveri (Mex),2019-2019,7,5,13.0,0,70,6,2/10,11.66,5.38,13.0,0,0,
7,MR Marsh (AUS),2011-2018,11,9,19.0,0,156,6,2/6,26.0,8.21,19.0,0,0,
8,JL Martel (GUE),2019-2019,3,3,11.0,0,59,6,3/15,9.83,5.36,11.0,0,0,
9,CAJ Meschede (GER),2019-2019,5,5,20.0,0,115,6,2/11,19.16,5.75,20.0,0,0,
10,M Mooketsi (Botsw),2019-2019,7,7,25.0,0,197,6,2/31,32.83,7.88,25.0,0,0,
11,A Morris (Caym),2019-2019,6,6,22.0,1,114,6,2/17,19.0,5.18,22.0,0,0,
12,JM Muirhead (AUS),2014-2014,5,5,15.0,0,109,6,2/13,18.16,7.26,15.0,0,0,
13,T Muzarabani (ZIM),2015-2016,9,9,30.0,0,280,6,2/31,46.66,9.33,30.0,0,0,
14,M Ntini (SA),2005-2011,10,10,32.0,0,298,6,2/22,49.66,9.31,32.0,0,0,
15,IE O'Brien (NZ),2009-2009,4,4,13.0,0,116,6,2/30,19.33,8.92,13.0,0,0,
16,SNJ O'Keefe (AUS),2010-2011,7,7,19.0,0,149,6,3/29,24.83,7.84,19.0,0,0,
17,IO Okpe (NGA),2019-2019,8,8,20.5,1,188,6,2/17,31.33,9.02,20.8,0,0,
18,SA Okpe (NGA),2019-2019,8,7,12.2,0,94,6,2/22,15.66,7.62,12.3,0,0,
19,BA Pai (GIBR),2019-2019,4,4,15.0,0,82,6,3/14,13.66,5.46,15.0,0,0,
20,KA Reynolds (Blz),2019-2019,3,3,11.0,0,60,6,3/26,10.0,5.45,11.0,0,0,
21,Rokhan Barakzai (AFG),2015-2015,3,3,10.0,0,75,6,2/21,12.5,7.5,10.0,0,0,
22,JE Root (ENG),2012-2019,32,9,14.0,0,139,6,2/9,23.16,9.92,14.0,0,0,
23,Sabbir Rahman (BDESH),2014-2019,44,8,11.1,0,70,6,3/11,11.66,6.26,11.1,0,0,
24,Sagar Pun (NEPAL),2014-2015,9,8,23.3,0,131,6,3/26,21.83,5.57,23.5,0,0,
25,NA Saini (INDIA),2019-2019,5,5,17.0,1,137,6,3/17,22.83,8.05,17.0,0,0,
26,E Schiferli (NL),2008-2010,7,6,23.0,0,146,6,3/23,24.33,6.34,23.0,0,0,
27,PH Shamdasani (Peru),2019-2019,4,4,12.0,1,70,6,2/8,11.66,5.83,12.0,0,0,
28,MM Sharma (INDIA),2014-2015,8,8,23.0,0,185,6,2/28,30.83,8.04,23.0,0,0,
29,Shoaib Qureshi (Fin),2019-2019,5,5,13.4,0,109,6,2/22,18.16,7.97,13.6,0,0,
30,Sidhant Singh (SGP),2019-2019,8,8,23.0,0,216,6,2/27,36.0,9.39,23.0,0,0,
31,LMP Simmons (WI),2007-2019,49,3,6.0,0,55,6,4/19,9.16,9.16,6.0,1,0,
32,TB Sole (SCOT),2019-2019,9,6,21.0,0,137,6,2/15,22.83,6.52,21.0,0,0,
33,Soumya Sarkar (BDESH),2015-2019,46,13,23.3,0,249,6,2/29,41.5,10.59,23.5,0,0,
34,BB Sran (INDIA),2016-2016,2,2,8.0,1,41,6,4/10,6.83,5.12,8.0,1,0,
35,Tariq Aziz (PORT),2019-2019,4,4,16.0,0,70,6,3/20,11.66,4.37,16.0,0,0,
36,WPUJC Vaas (SL),2006-2007,6,6,22.0,1,128,6,2/14,21.33,5.81,22.0,0,0,
37,JDF Vandersay (SL),2015-2019,10,10,35.0,1,262,6,2/26,43.66,7.48,35.0,0,0,
38,Waheed Ahmed (UAE),2019-2019,10,10,27.0,0,198,6,3/21,33.0,7.33,27.0,0,0,
39,KS Williamson (NZ),2011-2019,57,12,19.4,0,164,6,2/16,27.33,8.33,19.6,0,0,
40,Zeshan Arif (Aut),2019-2019,4,3,7.5,0,49,6,4/10,8.16,6.25,7.8,1,0,
41,Abdul Wahid (Saudi),2019-2019,5,5,17.0,0,117,5,2/21,23.4,6.88,20.4,0,0,
42,CN Ackermann (NL),2019-2019,11,10,25.0,0,147,5,1/6,29.4,5.88,30.0,0,0,
43,Ameel Mauroof (Mald),2019-2019,10,10,23.0,0,173,5,2/13,34.6,7.52,27.6,0,0,
44,Amjad Sher (Fin),2019-2019,5,5,18.0,2,88,5,2/22,17.6,4.88,21.6,0,0,
45,R Ankad (Mex),2019-2019,8,8,23.4,1,178,5,3/22,35.6,7.52,28.4,0,0,
46,Anshuman Rath (HKG),2015-2017,20,13,33.0,0,264,5,3/6,52.8,8.0,39.6,0,0,
47,Arshad Hayat (CZK-R),2019-2019,6,5,10.0,0,103,5,2/15,20.6,10.3,12.0,0,0,
48,Babar Ali (BAH),2019-2019,3,3,9.0,0,70,5,2/18,14.0,7.77,10.8,0,0,
49,V Baskaran (SGP),2019-2019,12,12,36.0,2,245,5,2/22,49.0,6.8,43.2,0,0,
0,S Bhari (NEPAL),2019-2019,6,6,18.0,0,113,5,2/22,22.6,6.27,21.6,0,0,
1,Bilawal Bhatti (PAK),2013-2015,9,9,26.0,0,255,5,2/36,51.0,9.8,31.2,0,0,
2,DR Briggs (ENG),2012-2014,7,6,18.0,0,199,5,2/25,39.8,11.05,21.6,0,0,
3,KJ Coetzer (SCOT),2008-2019,58,5,11.0,0,71,5,3/25,14.2,6.45,13.2,0,0,
4,H Dandapani (Fin),2019-2019,5,5,15.0,0,90,5,2/6,18.0,6.0,18.0,0,0,
5,LA Dawson (ENG),2016-2018,6,6,20.0,0,152,5,3/27,30.4,7.6,24.0,0,0,
6,DM de Silva (SL),2015-2019,13,7,15.0,0,100,5,2/22,20.0,6.66,18.0,0,0,
7,AC Douglas (BMUDA),2019-2019,10,2,4.2,0,30,5,5/18,6.0,6.92,5.2,0,1,
8,A Flintoff (ENG),2005-2007,7,7,25.0,0,161,5,2/23,32.2,6.44,30.0,0,0,
9,R Frylinck (SA),2017-2018,3,3,10.0,0,62,5,2/20,12.4,6.2,12.0,0,0,
10,GC Galanis (),2019-2019,2,2,4.2,0,32,5,3/32,6.4,7.38,5.2,0,0,
11,WT Gavera (PNG),2015-2017,6,6,17.0,1,113,5,3/17,22.6,6.64,20.4,0,0,
12,DAS Gunaratne (SL),2016-2017,12,10,24.5,0,204,5,1/11,40.8,8.21,29.8,0,0,
13,MD Gunathilaka (SL),2016-2019,21,9,15.4,0,128,5,2/3,25.6,8.17,18.8,0,0,
14,AM Guruge (UAE),2014-2015,5,5,16.0,0,125,5,2/18,25.0,7.81,19.2,0,0,
15,J Hurley (Arg),2019-2019,3,3,10.0,0,33,5,3/13,6.6,3.3,12.0,0,0,
16,Imran Anwar (BAH),2019-2019,4,4,16.0,0,134,5,2/24,26.8,8.37,19.2,0,0,
17,MS Kasprowicz (AUS),2005-2005,2,2,7.0,0,57,5,4/29,11.4,8.14,8.4,1,0,
18,VJ Kingma (NL),2016-2019,4,4,14.4,0,142,5,2/47,28.4,9.68,17.6,0,0,
19,SC Kuggeleijn (NZ),2019-2019,9,9,26.5,0,260,5,2/38,52.0,9.68,32.2,0,0,
20,R Kumar (ROM),2019-2019,4,3,12.0,0,98,5,2/28,19.6,8.16,14.4,0,0,
21,GD McGrath (AUS),2005-2005,2,2,8.0,0,79,5,3/31,15.8,9.87,9.6,0,0,
22,MW Machan (SCOT),2013-2016,13,7,22.3,0,156,5,3/23,31.2,6.93,27.0,0,0,
23,P Mishra (),2019-2019,3,3,9.0,0,37,5,3/12,7.4,4.11,10.8,0,0,
24,DJ Mitchell (NZ),2019-2019,9,5,9.1,0,89,5,2/27,17.8,9.7,11.0,0,0,
25,Mosaddek Hossain (BDESH),2016-2019,14,12,21.4,0,160,5,2/21,32.0,7.38,26.0,0,0,
26,Muhammad Nadeem (Saudi),2019-2019,5,2,5.0,0,49,5,3/16,9.8,9.8,6.0,0,0,
27,Muhammad Saleem (),2019-2019,4,4,11.0,1,45,5,3/19,9.0,4.09,13.2,0,0,
28,Muhammad Wafiq (MAL),2019-2019,4,4,16.0,1,114,5,3/10,22.8,7.12,19.2,0,0,
29,DM Nakrani (UGA),2019-2019,4,4,12.0,0,93,5,2/29,18.6,7.75,14.4,0,0,
30,W Nalisa (VAN),2019-2019,9,7,20.0,0,177,5,2/25,35.4,8.85,24.0,0,0,
31,Naved-ul-Hasan (PAK),2006-2010,4,4,14.1,0,101,5,3/19,20.2,7.12,17.0,0,0,
32,RJ Nicol (NZ),2010-2013,21,13,20.3,0,167,5,2/20,33.4,8.14,24.6,0,0,
33,PJ Ongondo (KENYA),2007-2008,8,8,26.0,1,177,5,2/18,35.4,6.8,31.2,0,0,
34,MW Parkinson (ENG),2019-2019,2,2,6.0,0,61,5,4/47,12.2,10.16,7.2,1,0,
35,MIA Patel (MWI),2019-2019,3,3,12.0,0,83,5,3/25,16.6,6.91,14.4,0,0,
36,NK Patel (USA),2019-2019,4,4,13.0,1,61,5,2/8,12.2,4.69,15.6,0,0,
37,SS Pathirana (SL),2016-2017,5,5,15.5,0,119,5,2/23,23.8,7.51,19.0,0,0,
38,K Pierre (WI),2018-2019,8,8,23.0,0,203,5,2/44,40.6,8.82,27.6,0,0,
39,J Rasu (VAN),2019-2019,13,2,3.5,0,44,5,5/36,8.8,11.47,4.6,0,1,
40,DMW Rawlins (BMUDA),2019-2019,11,11,37.0,0,285,5,2/22,57.0,7.7,44.4,0,0,
41,Raza Iqbal (NOR),2019-2019,5,4,13.0,0,85,5,2/20,17.0,6.53,15.6,0,0,
42,LH Rodrigues (),2019-2019,4,4,13.0,1,61,5,3/15,12.2,4.69,15.6,0,0,
43,HAM Shah (DEN),2019-2019,9,4,10.0,0,86,5,4/23,17.2,8.6,12.0,1,0,
44,KD Shah (HKG),2014-2019,26,9,24.0,1,190,5,2/31,38.0,7.91,28.8,0,0,
45,V Shankar (INDIA),2018-2019,9,6,21.0,0,191,5,2/32,38.2,9.09,25.2,0,0,
46,Sharafuddin Ashraf (AFG),2015-2019,8,8,25.0,1,201,5,3/27,40.2,8.04,30.0,0,0,
47,Sohail Khan (PAK),2008-2017,5,5,15.0,0,123,5,2/13,24.6,8.2,18.0,0,0,
48,ACF Stokes (GUE),2019-2019,7,7,23.2,0,152,5,2/26,30.4,6.51,28.0,0,0,
49,Tauqeer Hussain (ESP),2019-2019,4,4,9.3,0,48,5,2/12,9.6,5.05,11.4,0,0,
0,RML Taylor (SCOT),2013-2016,9,9,25.0,1,196,5,3/17,39.2,7.84,30.0,0,0,
1,RJW Topley (ENG),2015-2016,6,6,17.1,0,173,5,3/24,34.6,10.07,20.6,0,0,
2,Usama Master (MWI),2019-2019,6,5,13.1,0,106,5,2/24,21.2,8.05,15.8,0,0,
3,LV van Beek (NL),2014-2016,8,7,17.0,0,160,5,3/9,32.0,9.41,20.4,0,0,
4,W Viraliliu (VAN),2019-2019,10,9,20.2,0,164,5,3/19,32.8,8.06,24.4,0,0,
5,S Waqas Ahmed (NOR),2019-2019,5,4,10.0,0,83,5,2/24,16.6,8.3,12.0,0,0,
6,AA Westphal (Mex),2019-2019,5,5,19.0,0,65,5,2/10,13.0,3.42,22.8,0,0,
7,BTJ Wheal (SCOT),2016-2017,5,5,17.2,0,143,5,3/20,28.6,8.25,20.8,0,0,
8,Yamin Ahmadzai (AFG),2015-2015,2,2,7.1,0,65,5,3/34,13.0,9.06,8.6,0,0,
9,Yasar Haroon (),2019-2019,4,4,13.0,1,72,5,2/18,14.4,5.53,15.6,0,0,
10,Yasir Ali (ESP),2019-2019,9,5,9.5,0,52,5,2/11,10.4,5.28,11.8,0,0,
11,Abul Hasan (BDESH),2012-2018,5,5,14.0,0,148,4,2/33,37.0,10.57,21.0,0,0,
12,Abu Jayed (BDESH),2018-2018,3,3,11.0,0,106,4,2/27,26.5,9.63,16.5,0,0,
13,Afif Hossain (BDESH),2018-2019,8,5,10.0,1,79,4,2/9,19.75,7.9,15.0,0,0,
14,SA Ahmad (DEN),2019-2019,5,3,9.0,1,40,4,3/9,10.0,4.44,13.5,0,0,
15,D Ajekun (NGA),2019-2019,6,6,11.1,0,76,4,1/5,19.0,6.8,16.7,0,0,
16,DI Allan (KENYA),2012-2013,10,7,9.2,0,82,4,2/8,20.5,8.78,14.0,0,0,
17,MA Aponso (SL),2018-2018,3,3,10.0,0,79,4,2/29,19.75,7.9,15.0,0,0,
18,Arslan Ahmed (),2019-2019,3,3,9.0,1,40,4,3/15,10.0,4.44,13.5,0,0,
19,Ashiqullah Said (Belg),2019-2019,3,3,11.0,0,82,4,2/34,20.5,7.45,16.5,0,0,
20,A Aspiotis (),2019-2019,3,3,11.0,0,71,4,2/24,17.75,6.45,16.5,0,0,
21,Asrar Ahmed (),2019-2019,3,3,10.0,2,46,4,2/4,11.5,4.6,15.0,0,0,
22,NJ Astle (NZ),2005-2006,4,2,6.5,0,50,4,3/20,12.5,7.31,10.2,0,0,
23,R Avery (),2019-2019,4,4,11.0,0,66,4,2/13,16.5,6.0,16.5,0,0,
24,JD Baker (Samoa),2019-2019,4,4,13.0,0,107,4,2/32,26.75,8.23,19.5,0,0,
25,HMCM Bandara (SL),2006-2009,4,4,14.0,0,96,4,3/32,24.0,6.85,21.0,0,0,
26,HH Banner (Blz),2019-2019,3,3,12.0,1,67,4,2/18,16.75,5.58,18.0,0,0,
27,MD Bates (NZ),2012-2012,3,3,11.0,0,107,4,3/31,26.75,9.72,16.5,0,0,
28,S Bau (PNG),2016-2019,23,10,14.0,0,79,4,2/4,19.75,5.64,21.0,0,0,
29,TS Braat (NL),2019-2019,3,3,10.0,0,70,4,3/26,17.5,7.0,15.0,0,0,
30,GB Brent (ZIM),2006-2007,3,3,11.0,0,93,4,2/19,23.25,8.45,16.5,0,0,
31,J Bulele (Moz),2019-2019,7,5,14.2,0,107,4,2/30,26.75,7.46,21.5,0,0,
32,DE Burgess (Samoa),2019-2019,4,3,8.3,0,86,4,3/47,21.5,10.11,12.7,0,0,
33,PP Chawla (INDIA),2010-2012,7,7,23.0,1,151,4,2/13,37.75,6.56,34.5,0,0,
34,MD Dai (PNG),2015-2017,9,9,25.0,0,157,4,2/13,39.25,6.28,37.5,0,0,
35,I Danladi (NGA),2019-2019,3,3,9.0,0,52,4,2/10,13.0,5.77,13.5,0,0,
36,K Dasan (),2019-2019,3,2,8.0,0,52,4,3/23,13.0,6.5,12.0,0,0,
37,JM Davison (CAN),2008-2010,5,5,18.0,0,91,4,2/19,22.75,5.05,27.0,0,0,
38,RR Emrit (WI),2018-2018,4,4,16.0,0,156,4,1/24,39.0,9.75,24.0,0,0,
39,S Goustis (),2019-2019,3,3,9.0,1,42,4,2/28,10.5,4.66,13.5,0,0,
40,Jandu Hamoud (KUW),2019-2019,6,6,16.0,0,112,4,2/25,28.0,7.0,24.0,0,0,
41,RJ Harris (AUS),2010-2010,3,3,11.4,1,95,4,2/27,23.75,8.14,17.5,0,0,
42,MC Henriques (AUS),2009-2017,11,7,17.0,0,158,4,2/35,39.5,9.29,25.5,0,0,
43,MG Hunter (GIBR),2019-2019,4,4,11.3,0,63,4,2/22,15.75,5.47,17.2,0,0,
44,Hussain Talat (PAK),2018-2019,14,6,6.0,0,54,4,2/12,13.5,9.0,9.0,0,0,
45,AF Ifill (Caym),2019-2019,6,6,18.3,1,151,4,1/7,37.75,8.16,27.7,0,0,
46,Imran Bulbulia (PNM),2019-2019,3,3,10.0,0,59,4,2/20,14.75,5.9,15.0,0,0,
47,RK Inampud (Mex),2019-2019,3,3,12.0,0,68,4,2/29,17.0,5.66,18.0,0,0,
48,DF Jacobs (THAI),2019-2019,4,2,5.0,0,26,4,4/13,6.5,5.2,7.5,1,0,
49,Joginder Sharma (INDIA),2007-2007,4,4,14.3,0,138,4,2/20,34.5,9.51,21.7,0,0,
0,MO Jones (BMUDA),2019-2019,8,7,15.0,0,116,4,2/26,29.0,7.73,22.5,0,0,
1,MBS Jonkman (NL),2010-2010,3,3,8.0,0,47,4,2/21,11.75,5.87,12.0,0,0,
2,S Kaul (INDIA),2018-2019,3,3,9.4,0,84,4,2/35,21.0,8.68,14.5,0,0,
3,S Kizilkaya (TKY),2019-2019,4,4,9.0,0,74,4,2/9,18.5,8.22,13.5,0,0,
4,V Kohli (INDIA),2010-2019,75,12,24.2,0,198,4,1/13,49.5,8.13,36.5,0,0,
5,A Krishna (SGP),2019-2019,4,4,12.0,0,121,4,3/27,30.25,10.08,18.0,0,0,
6,GA Lamb (ZIM),2010-2010,5,5,12.1,0,80,4,2/14,20.0,6.57,18.2,0,0,
7,A Lark (Aut),2019-2019,5,4,10.5,0,55,4,3/20,13.75,5.07,16.2,0,0,
8,E Leie (SA),2015-2015,2,2,6.0,0,48,4,3/16,12.0,8.0,9.0,0,0,
9,J Lewis (ENG),2005-2007,2,2,7.0,0,55,4,4/24,13.75,7.85,10.5,1,0,
10,ML Lewis (AUS),2006-2006,2,2,7.3,0,49,4,2/18,12.25,6.53,11.2,0,0,
11,T Lungameni (NAM),2019-2019,6,6,16.0,1,88,4,2/16,22.0,5.5,24.0,0,0,
12,CJ McKay (AUS),2010-2013,6,6,22.4,1,183,4,2/24,45.75,8.07,34.0,0,0,
13,CS MacLeod (SCOT),2009-2019,49,11,23.0,0,174,4,2/17,43.5,7.56,34.5,0,0,
14,SW Masakadza (ZIM),2010-2013,7,7,19.3,0,211,4,2/39,52.75,10.82,29.2,0,0,
15,GE Mathurin (WI),2011-2012,3,3,10.0,0,65,4,3/9,16.25,6.5,15.0,0,0,
16,Mehidy Hasan Miraz (BDESH),2017-2018,13,13,36.0,0,330,4,2/31,82.5,9.16,54.0,0,0,
17,K Mendon (CZK-R),2019-2019,6,5,8.4,0,78,4,3/19,19.5,9.0,13.0,0,0,
18,Mohammad Ahsan (KUW),2019-2019,6,6,20.0,0,192,4,2/31,48.0,9.6,30.0,0,0,
19,Mohammad Kashif (NL),2010-2010,3,3,7.0,0,55,4,2/28,13.75,7.85,10.5,0,0,
20,PL Mommsen (SCOT),2012-2016,24,7,23.0,0,164,4,1/23,41.0,7.13,34.5,0,0,
21,JK Mukhiya (NEPAL),2014-2015,4,4,10.0,0,56,4,3/18,14.0,5.6,15.0,0,0,
22,C Munro (NZ),2012-2019,60,12,19.4,0,186,4,1/12,46.5,9.45,29.5,0,0,
23,N M'shangwe (ZIM),2013-2014,5,5,16.0,0,142,4,2/33,35.5,8.87,24.0,0,0,
24,Najjam Shahzad (PORT),2019-2019,4,4,12.2,0,65,4,2/16,16.25,5.27,18.5,0,0,
25,Nawroz Mangal (AFG),2010-2017,32,6,10.0,0,80,4,3/23,20.0,8.0,15.0,0,0,
26,Nazril Rahman (MAL),2019-2019,7,7,17.0,0,166,4,2/28,41.5,9.76,25.5,0,0,
27,SN Netravalkar (USA),2019-2019,8,8,22.4,0,161,4,2/28,40.25,7.1,34.0,0,0,
28,JO Ngoche (KENYA),2012-2013,7,7,24.0,0,140,4,2/31,35.0,5.83,36.0,0,0,
29,Nizakat Khan (HKG),2014-2019,34,5,14.0,0,83,4,3/19,20.75,5.92,21.0,0,0,
30,AA Noffke (AUS),2007-2008,2,2,7.3,1,41,4,3/18,10.25,5.46,11.2,0,0,
31,GM Ntambalika (MWI),2019-2019,3,3,9.0,0,56,4,2/13,14.0,6.22,13.5,0,0,
32,LN Onyango (KENYA),2007-2010,5,5,13.0,0,128,4,2/17,32.0,9.84,19.5,0,0,
33,MM Patel (INDIA),2011-2011,3,3,10.0,0,86,4,2/25,21.5,8.6,15.0,0,0,
34,RR Patel (KENYA),2008-2019,30,7,15.0,0,104,4,2/19,26.0,6.93,22.5,0,0,
35,VD Philander (SA),2007-2007,7,6,13.5,0,114,4,2/23,28.5,8.24,20.7,0,0,
36,S Pillai (CRC),2019-2019,3,3,8.4,0,56,4,3/14,14.0,6.46,13.0,0,0,
37,EB Ringera (KENYA),2019-2019,1,1,4.0,0,18,4,4/18,4.5,4.5,6.0,1,0,
38,S Rossi (Arg),2019-2019,5,3,6.5,2,21,4,2/15,5.25,3.07,10.2,0,0,
39,Sahir Naqash (GER),2019-2019,7,5,9.0,0,52,4,2/3,13.0,5.77,13.5,0,0,
40,O Sam Arthur (CRC),2019-2019,3,3,9.0,0,76,4,2/21,19.0,8.44,13.5,0,0,
41,MM Sarwar (KUW),2019-2019,5,4,10.4,0,99,4,2/13,24.75,9.28,16.0,0,0,
42,A Sathya (Mex),2019-2019,3,3,11.3,0,76,4,2/32,19.0,6.6,17.2,0,0,
43,CP Schofield (ENG),2007-2007,4,4,12.5,0,92,4,2/15,23.0,7.16,19.2,0,0,
44,L Shafeeg (Mald),2019-2019,3,3,11.0,0,76,4,3/33,19.0,6.9,16.5,0,0,
45,Shahadat Hossain (BDESH),2006-2013,6,6,20.0,0,198,4,2/22,49.5,9.9,30.0,0,0,
46,NK Shetty (Mex),2019-2019,2,2,8.0,0,42,4,3/17,10.5,5.25,12.0,0,0,
47,L Sipamla (SA),2019-2019,5,5,15.4,0,131,4,2/22,32.75,8.36,23.5,0,0,
48,Sohag Gazi (BDESH),2012-2015,10,10,35.0,1,299,4,1/28,74.75,8.54,52.5,0,0,
49,DC Stovell (BMUDA),2019-2019,6,6,17.2,0,126,4,2/21,31.5,7.26,26.0,0,0,
0,AO Suji (KENYA),2007-2010,8,6,16.1,1,116,4,2/23,29.0,7.17,24.2,0,0,
1,Syed Aziz (MAL),2019-2019,14,8,24.5,0,187,4,2/33,46.75,7.53,37.2,0,0,
2,Syed Rasel (BDESH),2007-2008,8,8,29.0,2,202,4,1/10,50.5,6.96,43.5,0,0,
3,A Uniyal (Chile),2019-2019,3,3,9.0,1,59,4,3/17,14.75,6.55,13.5,0,0,
4,Usman Ali (Saudi),2019-2019,5,5,19.0,0,130,4,1/21,32.5,6.84,28.5,0,0,
5,TCW Veillard (GUE),2019-2019,4,4,16.0,0,93,4,1/15,23.25,5.81,24.0,0,0,
6,BV Vitori (ZIM),2012-2016,11,11,39.4,0,323,4,1/24,80.75,8.14,59.5,0,0,
7,Waqas Barkat (HKG),2014-2019,22,10,21.2,0,152,4,2/13,38.0,7.12,32.0,0,0,
8,SMK Waththage (CZK-R),2019-2019,5,5,12.0,3,66,4,3/4,16.5,5.5,18.0,0,0,
9,K Weeraratne (SL),2008-2009,5,5,15.0,0,126,4,4/19,31.5,8.4,22.5,1,0,
10,CM Wright (SCOT),2007-2009,3,2,5.0,0,49,4,3/29,12.25,9.8,7.5,0,0,
11,SA Abbott (AUS),2014-2019,4,4,10.0,0,61,3,2/14,20.33,6.1,20.0,0,0,
12,AS Abioye (NGA),2019-2019,5,4,10.0,0,87,3,2/26,29.0,8.7,20.0,0,0,
13,AR Adams (NZ),2005-2006,4,4,12.5,0,105,3,2/20,35.0,8.18,25.6,0,0,
14,AB Agarkar (INDIA),2006-2007,4,3,10.3,1,85,3,2/10,28.33,8.09,21.0,0,0,
15,A Ahmadhel (),2019-2019,3,3,10.0,0,75,3,2/16,25.0,7.5,20.0,0,0,
16,S Appu (MALTA),2019-2019,4,4,9.0,0,74,3,1/21,24.66,8.22,18.0,0,0,
17,MNM Aslam (KUW),2019-2019,6,5,14.0,0,85,3,1/13,28.33,6.07,28.0,0,0,
18,TD Astle (NZ),2016-2019,3,3,8.0,0,69,3,3/28,23.0,8.62,16.0,0,0,
19,V Ateak (Ghana),2019-2019,4,3,11.0,0,94,3,2/36,31.33,8.54,22.0,0,0,
20,MS Aulakh (CAN),2012-2013,3,3,9.0,0,82,3,2/40,27.33,9.11,18.0,0,0,
21,G Bakiweyem (Ghana),2019-2019,3,3,10.0,0,62,3,2/15,20.66,6.2,20.0,0,0,
22,S Bantzas (),2019-2019,1,1,3.0,0,12,3,3/12,4.0,4.0,6.0,0,0,
23,F Behardien (SA),2012-2018,38,3,5.0,0,27,3,2/15,9.0,5.4,10.0,0,0,
24,P Bhart (NOR),2019-2019,5,4,12.0,1,68,3,2/29,22.66,5.66,24.0,0,0,
25,PRP Boissevain (NL),2019-2019,4,4,16.0,0,116,3,1/19,38.66,7.25,32.0,0,0,
26,SM Boland (AUS),2016-2016,3,3,11.0,0,90,3,3/26,30.0,8.18,22.0,0,0,
27,PR Brown (ENG),2019-2019,4,4,13.0,0,128,3,1/29,42.66,9.84,26.0,0,0,
28,P Buccimazza (PORT),2019-2019,4,4,13.0,0,86,3,2/18,28.66,6.61,26.0,0,0,
29,N Buckle (GUE),2019-2019,3,3,10.0,0,76,3,3/26,25.33,7.6,20.0,0,0,
30,CG Burnett (SCOT),2013-2013,1,1,4.0,0,18,3,3/18,6.0,4.5,8.0,0,0,
31,HL Carlyon (JER),2019-2019,9,3,6.0,0,42,3,3/15,14.0,7.0,12.0,0,0,
32,MS Chapman (HKG/NZ),2014-2018,24,4,10.0,0,77,3,1/10,25.66,7.7,20.0,0,0,
33,M Chauhan (Fin),2019-2019,2,2,8.0,1,38,3,2/16,12.66,4.75,16.0,0,0,
34,TLW Cooper (NL),2012-2016,18,9,17.0,0,132,3,2/18,44.0,7.76,34.0,0,0,
35,M Cope (LUX),2019-2019,2,2,5.0,0,61,3,2/23,20.33,12.2,10.0,0,0,
36,BCJ Cutting (AUS/World),2013-2017,7,7,21.0,0,215,3,1/18,71.66,10.23,42.0,0,0,
37,TH David (SGP),2019-2019,12,9,22.2,0,202,3,1/18,67.33,9.04,44.6,0,0,
38,NS Dhaliwal (CAN),2019-2019,12,5,8.0,0,43,3,1/11,14.33,5.37,16.0,0,0,
39,SDJJ Dima (Moz),2019-2019,4,2,5.0,0,57,3,3/41,19.0,11.4,10.0,0,0,
40,S Dube (INDIA),2019-2019,6,6,12.3,0,114,3,3/30,38.0,9.12,25.0,0,0,
41,RMS Eranga (SL),2012-2013,3,3,11.0,0,90,3,2/30,30.0,8.18,22.0,0,0,
42,L Evile (Samoa),2019-2019,4,4,12.0,1,67,3,1/0,22.33,5.58,24.0,0,0,
43,Farhan Ahmed (UAE),2016-2016,3,3,9.0,0,66,3,2/28,22.0,7.33,18.0,0,0,
44,Fawad Ahmed (AUS),2013-2013,2,2,8.0,0,68,3,3/25,22.66,8.5,16.0,0,0,
45,B Fernando (SL),2015-2015,2,2,7.2,0,71,3,2/33,23.66,9.68,14.6,0,0,
46,P Florin (ROM),2019-2019,4,2,1.4,0,10,3,2/3,3.33,6.0,3.3,0,0,
47,BC Fortuin (SA),2019-2019,2,2,7.0,0,51,3,2/19,17.0,7.28,14.0,0,0,
48,ST Gabriel (WI),2013-2013,2,2,7.0,0,56,3,3/44,18.66,8.0,14.0,0,0,
49,CJ Gannon (USA),2019-2019,4,3,9.0,0,67,3,2/21,22.33,7.44,18.0,0,0,
0,D Gough (ENG),2005-2006,2,2,6.5,0,49,3,3/16,16.33,7.17,13.6,0,0,
1,TGJ Gruijters (NL),2012-2013,8,5,12.0,0,74,3,1/5,24.66,6.16,24.0,0,0,
2,HF Gurney (ENG),2014-2014,2,2,8.0,0,55,3,2/26,18.33,6.87,16.0,0,0,
3,AJ Hall (SA),2006-2006,2,2,8.0,0,60,3,3/22,20.0,7.5,16.0,0,0,
4,SM Harwood (AUS),2007-2009,3,3,12.0,0,113,3,2/21,37.66,9.41,24.0,0,0,
5,Hayatullah Niazi (NOR),2019-2019,4,4,10.0,0,81,3,1/19,27.0,8.1,20.0,0,0,
6,J Hill (PHI),2019-2019,4,2,6.0,0,50,3,2/27,16.66,8.33,12.0,0,0,
7,J Hirschi (MALTA),2019-2019,4,4,11.0,0,96,3,2/18,32.0,8.72,22.0,0,0,
